web-scraper-order,web-scraper-start-url,articles_link,articles_link-href,details,nombre_chambre,nbre_salle_de_bain,superfécie,adresse,prix,image_lien-src
"1738156576-11","https://www.expat-dakar.com/appartements-meubles?page=79","Des appartements meublés à louer au mariste
                                2 chambre200 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        9. janv., 15:08
                                    
                    40 000 F Cfa
                        
                        784879963","https://www.expat-dakar.com/annonce/des-appartements-meubles-a-louer-au-mariste-5870710","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            200 m²","2","2","200 m²","Hann maristes
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e348c5ad3df4e64a45a74f5c6de7082/-/horizon-files-prod/ed/picture/qrzvz645/bf038daaa729a698796dc81db5e7a0a2e425573e.jpg"
"1738156578-12","https://www.expat-dakar.com/appartements-meubles?page=79","Appartement Meublé  vue sur mer à Dakar plateau
                                3 chambre300 m²
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        9. janv., 15:33
                                    
                    3 000 000 F Cfa
                        
                        784879963","https://www.expat-dakar.com/annonce/appartement-meuble-vue-sur-mer-a-dakar-plateau-5675732","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            300 m²","3","4","300 m²","Plateau
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/78197df7baf4ae47285477bcefa2e3b7/-/horizon-files-prod/ed/picture/qrzqr2w9/4e1931dc3ca9a8df92e17a74b56cd3c4e8fede23.jpg"
"1738156580-13","https://www.expat-dakar.com/appartements-meubles?page=79","Appartement 2 chambres salon à louer à ngor almadies
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        jeudi, 16:23
                                    
                    35 000 F Cfa
                        
                        777032727","https://www.expat-dakar.com/annonce/appartement-2-chambres-salon-a-louer-a-ngor-almadies-6071698","Chambres
        
                            2
                    
            Salle de Bain
        
                            3","2","3","","Almadies
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/71d0fd0fce5982b2ba58aa1af26c59ad/-/horizon-files-prod/ed/picture/qrzvg89n/0099c6f377da0c88d2a25c945e1d3d3e28235650.jpg"
"1738156583-14","https://www.expat-dakar.com/appartements-meubles?page=79","Chambre meublée à louer - quartier Grand Mbour
                                1 chambre
                                                                                    Mbour,
                                                                                Thiès
                                    
                                        Aujourd'hui, 11:33
                                    
                    15 000 F Cfa
                        
                        773858720","https://www.expat-dakar.com/annonce/chambre-meublee-a-louer-quartier-grand-mbour-5501197","Chambres
        
                            1
                    
            Salle de Bain
        
                            1","1","1","","Mbour
            
                Thiès","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3b8e50a4a48c50f28485cd768a7140f1/-/horizon-files-prod/ed/picture/q4447wdp/8e903f5aa63baa88b79183a411f90e7184ec96da.jpg"
"1738156585-15","https://www.expat-dakar.com/appartements-meubles?page=79","Appartement meublé vue sur mer à louer aux Almadies
                                3 chambre250 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        7. janv., 21:44
                                    
                    2 800 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-vue-sur-mer-a-louer-aux-almadies-6082806","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            250 m²","3","4","250 m²","Almadies
            
                Dakar","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8331d1e56d24673d3c47671562bd6f0d/-/horizon-files-prod/ed/picture/qwe2qr7p/12c9476164d7496bf9490b9f876309c97297ef95.jpg"
"1738156588-16","https://www.expat-dakar.com/appartements-meubles?page=79","Appartement meublé à louer aux virages biagui
                                3 chambre200 m²
                                                                                    Cité biagui,
                                                                                Dakar
                                    
                                        10. nov. '24, 18:17
                                    
                    1 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-aux-virages-biagui-6076857","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","200 m²","Cité biagui
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/04e1f5326c8af7cb3ded65f873a5ec74/-/horizon-files-prod/ed/picture/qgq9vrze/3cd99b70374da18019f5cacc34c1390c91f355da.jpg"
"1738156593-17","https://www.expat-dakar.com/appartements-meubles?page=78","APPARTEMENT MEUBLÉ F4 A LOUER AU POINT E
                                3 chambre156 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        6. janv., 12:58
                                    
                    1 600 000 F Cfa
                        
                        774763424
                    
                        778182183","https://www.expat-dakar.com/annonce/appartement-meuble-f4-a-louer-au-point-e-5818784","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            156 m²","3","4","156 m²","Point-e
            
                Dakar","1 600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f066d6ebb636129508d389864c7fa55/-/horizon-files-prod/ed/picture/qdew8407/05bd02a02c4d6c8577aec43b95e21e1cb1e372be.jpg"
"1738156595-18","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement f4 à louer à côté du club olympique
                                3 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        Aujourd'hui, 13:12
                                    
                                            Vendeur vérifié
                                        
                    2 000 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-a-cote-du-club-olympique-5987704","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            300 m²","3","3","300 m²","Fann
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/47472900a7d459426f6712a3e3f0ee69/-/horizon-files-prod/ed/picture/q9m96r5n/802e9a5b3d9f78e0ea1036eb6314ebbecd337eae.jpg"
"1738156598-19","https://www.expat-dakar.com/appartements-meubles?page=78","Chambres/Appartement Meublé Idéales pour Vacances
                                2 chambre150 m²
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        6. janv., 23:30
                                    
                    30 000 F Cfa
                        
                        771254697","https://www.expat-dakar.com/annonce/chambresappartement-meuble-ideales-pour-vacances-6073671","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            150 m²","2","2","150 m²","Hlm
            
                Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7d7d9e94078879328ccda965d9275bc/-/horizon-files-prod/ed/picture/qngx4jmr/29b401b1627d0f57facfaaca1388329b4a2fa3f7.jpg"
"1738156600-20","https://www.expat-dakar.com/appartements-meubles?page=78","Chambre meublée kaolack
                                15 chambre600 m²
                                                                                    Kaolack,
                                                                                Kaolack
                                    
                                        4. nov. '24, 11:04
                                    
                    15 000 F Cfa
                        
                        762260424","https://www.expat-dakar.com/annonce/chambre-meublee-kaolack-5960597","Chambres
        
                            15
                    
            Salle de Bain
        
                            14
                    
            Mètres carrés
        
                            600 m²","15","14","600 m²","Kaolack
            
                Kaolack","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aeb2eb439e8d09ad399735515921c6ee/-/horizon-files-prod/ed/picture/q448pv05/3750e0df1733001b630d414a7baab4a30efc6eba.jpg"
"1738156603-21","https://www.expat-dakar.com/appartements-meubles?page=78","Apparemment meublé à louer sur la corniche Almadie
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        11. janv., 00:44
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-meuble-a-louer-sur-la-corniche-almadie-6104634","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","200 m²","Almadies
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e3d3b4d46c4611dbeec89b43ee802220/-/horizon-files-prod/ed/picture/qm5g56xj/2b623ca9d022ee5342b4af051497e6ae96333007.jpg"
"1738156605-22","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement F4 AUX ALMADIES
                                3 chambre180 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        5. nov. '24, 17:28
                                    
                    2 000 000 F Cfa
                        
                        779124343","https://www.expat-dakar.com/annonce/appartement-f4-aux-almadies-6080964","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            180 m²","3","5","180 m²","Almadies
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f54a91effe40c1d0faaf6c40a16b3f7/-/horizon-files-prod/ed/picture/qenqgng2/4c7fa1bbe6c5056e690032647f03d57d821f69a2.jpg"
"1738156607-23","https://www.expat-dakar.com/appartements-meubles?page=78","Très Luxueux appartement meublé
                                2 chambre150 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        24. nov. '24, 12:23
                                    
                    40 000 F Cfa
                        
                        773715603","https://www.expat-dakar.com/annonce/tres-luxueux-appartement-meuble-6106667","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            150 m²","2","2","150 m²","Mamelles
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4d30c4e50bb355c96a110710ba3b4a3/-/horizon-files-prod/ed/picture/q78w8m8z/b9967d09b1404566c80d02c5d491bbdbdcbb2e8b.jpg"
"1738156610-24","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement meublé corniche fan résidence
                                3 chambre341 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. janv., 23:26
                                    
                    2 700 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-corniche-fan-residence-6109868","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            341 m²","3","5","341 m²","Fann
            
                Dakar","2 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/76ad1725a6d5589f2867a22791e50aac/-/horizon-files-prod/ed/picture/qv4w46rg/38935e7bead6c7060ffb1113a519bdf53aea85db.jpg"
"1738156612-25","https://www.expat-dakar.com/appartements-meubles?page=78","Studio meublé aux HLM5
                                1 chambre
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        6. nov. '24, 00:12
                                    
                    25 000 F Cfa
                        
                        778565333
                    
                        778565333","https://www.expat-dakar.com/annonce/studio-meuble-aux-hlm5-6109972","Chambres
        
                            1
                    
            Salle de Bain
        
                            2","1","2","","Hlm
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9c4691349e059ced421f057911425b0/-/horizon-files-prod/ed/picture/qwepe7dm/5c4f1b25d23d827032887bba44be06f54912978b.jpg"
"1738156615-26","https://www.expat-dakar.com/appartements-meubles?page=78","Villa à louer aux Almadie
                                5 chambre1,000 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        23. déc. '24, 12:22
                                    
                    5 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/villa-a-louer-aux-almadie-6118095","Chambres
        
                            5
                    
            Salle de Bain
        
                            6
                    
            Mètres carrés
        
                            1,000 m²","5","6","1,000 m²","Almadies
            
                Dakar","5 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a27a12f35fe43ad05c1a4ee37e14bfed/-/horizon-files-prod/ed/picture/qq42d8nz/8f2b85a5c0a0732dd3609b0017f9d6409f001699.jpg"
"1738156620-27","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé à louer aux Point E
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. janv., 23:26
                                    
                    2 400 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-aux-point-e-6120572","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","3","200 m²","Fann
            
                Dakar","2 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d83775b66e30a0a9be4baa7bcc88b14/-/horizon-files-prod/ed/picture/qwepz774/3d48c4597ffd25e271d24910382eece805eb1c84.jpg"
"1738156622-28","https://www.expat-dakar.com/appartements-meubles?page=77","Superbe F3 meublé standing Toubab Dialaw
                                2 chambre
                                                                                    Toubab dialo,
                                                                                Dakar
                                    
                                        9. nov. '24, 17:34
                                    
                    50 000 F Cfa
                        
                        772710090","https://www.expat-dakar.com/annonce/superbe-f3-meuble-standing-toubab-dialaw-6004249","Chambres
        
                            2
                    
            Salle de Bain
        
                            2","2","2","","Toubab dialo
            
                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca31897dd22038cb3317960bfbd7609e/-/horizon-files-prod/ed/picture/qngxkm2w/45b40e864bd104159739682281a8ca86fc6480b4.jpg"
"1738156625-29","https://www.expat-dakar.com/appartements-meubles?page=77","Superbe Appartement Meublé à Keur Massar, Dakar
                                2 chambre110 m²
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        21. nov. '24, 09:44
                                    
                                            Vendeur vérifié
                                        
                    23 000 F Cfa
                        
                        771257777","https://www.expat-dakar.com/annonce/superbe-appartement-meuble-a-keur-massar-dakar-5049888","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            110 m²","2","2","110 m²","Keur Massar
            
                Dakar","23 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e3b5688d1a1831deac8fa1bcbac20690/-/horizon-files-prod/ed/picture/q604q8v/f456f55f653327df00cdd5625c403796f9764bca.jpg"
"1738156627-30","https://www.expat-dakar.com/appartements-meubles?page=77","Très Luxueux studio meublé au Mamelle
                                1 chambre100 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        24. nov. '24, 12:23
                                    
                    25 000 F Cfa
                        
                        773715603","https://www.expat-dakar.com/annonce/tres-luxueux-studio-meuble-au-mamelle-6133518","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            100 m²","1","1","100 m²","Mamelles
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb693c5b5f15e4a408ee793959f7f591/-/horizon-files-prod/ed/picture/qde77rj0/5ddedc24be5037507f505713befbda15c4f97b53.jpg"
"1738156630-31","https://www.expat-dakar.com/appartements-meubles?page=77","Chambre meublée et climatisée
                                1 chambre20 m²
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        6. janv., 20:43
                                    
                    10 000 F Cfa
                        
                        773642155","https://www.expat-dakar.com/annonce/chambre-meublee-et-climatisee-6134501","Chambres
        
                            1
                    
            Mètres carrés
        
                            20 m²","1","","20 m²","Ouest foire
            
                Dakar","10 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d3b690dd397c6450b0a29244da58cfe/-/horizon-files-prod/ed/picture/q78ww7rn/901548ff4cb05cd6433f0448953933bf85fd3bfd.jpg"
"1738156632-32","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement deux chambres salon à Saint-Louis
                                2 chambre150 m²
                                                                                    Saint-Louis,
                                                                                Saint-Louis
                                    
                                        vendredi, 10:02
                                    
                    45 000 F Cfa
                        
                        775511435","https://www.expat-dakar.com/annonce/appartement-deux-chambres-salon-a-saint-louis-5653044","Chambres
        
                            2
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            150 m²","2","3","150 m²","Saint-Louis
            
                Saint-Louis","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad58b999c8fb4693312fa1ea0e21455f/-/horizon-files-prod/ed/picture/q6x66ep4/75abb44d46e45efe9ef41e451c8cc36c9c39f3f2.jpg"
"1738156635-33","https://www.expat-dakar.com/appartements-meubles?page=77","Chambres Meublées à Saint-Louis
                                15 chambre250 m²
                                                                                    Saint-Louis,
                                                                                Saint-Louis
                                    
                                        vendredi, 10:00
                                    
                    15 000 F Cfa
                        
                        775511435","https://www.expat-dakar.com/annonce/chambres-meublees-a-saint-louis-2758996","Chambres
        
                            15
                    
            Salle de Bain
        
                            15
                    
            Mètres carrés
        
                            250 m²","15","15","250 m²","Saint-Louis
            
                Saint-Louis","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d83ea93fae9b791e5403b0629f7b073f/-/horizon-files-prod/ed/picture/migrated/q40mdv8/00a5db66459c1c025107b64b7eb0d9c64e717ea1.jpg"
"1738156637-34","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement deux chambres climatisées à Saint-Louis
                                2 chambre100 m²
                                                                                    Saint-Louis,
                                                                                Saint-Louis
                                    
                                        vendredi, 09:59
                                    
                    40 000 F Cfa
                        
                        775511435","https://www.expat-dakar.com/annonce/appartement-deux-chambres-climatisees-a-saint-louis-5118345","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            100 m²","2","2","100 m²","Saint-Louis
            
                Saint-Louis","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c98364b1d52be03e44b9172939ab97c/-/horizon-files-prod/ed/picture/q7n2q78/21f77c1876d6d4d6eff078a615924dcb07905ae4.jpg"
"1738156639-35","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé avec piscine jardin Virage
                                3 chambre200 m²
                                                                                    Virage,
                                                                                Dakar
                                    
                                        10. déc. '24, 21:07
                                    
                    60 000 F Cfa
                        
                        773464496
                    
                        767924983","https://www.expat-dakar.com/annonce/appartement-meuble-avec-piscine-jardin-virage-6134862","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","3","200 m²","Virage
            
                Dakar","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/811d021fb1821b3d71628989c977e293/-/horizon-files-prod/ed/picture/qde77kd2/70afcaa0050babc8ecbc8403bde34bd2ea6dbc02.jpg"
"1738156642-36","https://www.expat-dakar.com/appartements-meubles?page=77","STUDIO MEUBLÉ À LOUER POINT E
                                1 chambre60 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        vendredi, 16:16
                                    
                    55 000 F Cfa
                        
                        779811919
                    
                        338252230
                    
                        704500101","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-point-e-4853597","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            60 m²","1","1","60 m²","Point-e
            
                Dakar","55 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/23bb04fd1481769e34a3079a6bb40746/-/horizon-files-prod/ed/picture/q4x9kd4/86e15c98a7e37165a527a3bfca8529ef00b6412a.jpg"
"1738156647-37","https://www.expat-dakar.com/appartements-meubles?page=76","Bel appartement meublé/ mamelles
                                
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        15. déc. '24, 11:40
                                    
                    650 000 F Cfa
                        
                        784403914
                    
                        784403914","https://www.expat-dakar.com/annonce/bel-appartement-meuble-mamelles-5520902","","","","","Mamelles
            
                Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1990c35593bedc5aaf40fa6e7b10e8b9/-/horizon-files-prod/ed/picture/qv445x8p/38a80f104d3fa7b099df15779bb8c471a496e158.jpg"
"1738156649-38","https://www.expat-dakar.com/appartements-meubles?page=76","Appartement 1 chambre meublé-Almadies recasement
                                1 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        6. déc. '24, 09:53
                                    
                    600 000 F Cfa
                        
                        765630430","https://www.expat-dakar.com/annonce/appartement-1-chambre-meuble-almadies-recasement-6137962","Chambres
        
                            1
                    
            Salle de Bain
        
                            2","1","2","","Almadies
            
                Dakar","600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f2a5c5a47857b8dee1fc9de0df9ad513/-/horizon-files-prod/ed/picture/qde77ng0/37c29d24538f1ab60dbcd1d5f2fb04ac129c71d1.jpg"
