web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,nbre_chambre,nbre_salle_de_bain,adresse,prix,image_lien-src,superficie
"1738145039-15","https://www.expat-dakar.com/appartements-a-louer?page=127","Duplex vide 4 chambres à louer au point E
                                4 chambre280 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        13. janv., 17:01
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/duplex-vide-4-chambres-a-louer-au-point-e-5955410","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            280 m²","4","5","Point-e
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b5a37f0e0229da5b7b7b20c21d529a5/-/horizon-files-prod/ed/picture/qrzv7n45/e87e582d3adfe919384a4a90681877fc72bb09db.jpg","280 m²"
"1738145041-16","https://www.expat-dakar.com/appartements-a-louer?page=127","BEL APPARTEMENT F4 AU POINT E
                                3 chambre150 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        17. nov. '24, 23:06
                                    
                    650 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/bel-appartement-f4-au-point-e-5923340","Chambres
        
                            3
                    
            Mètres carrés
        
                            150 m²","3","","Point-e
            
                Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffb0dcb210fd4c2239aa9bdaaa7aef2d/-/horizon-files-prod/ed/picture/qdek000g/9a66a3cb6864519c1da984c825e7700166b816da.jpg","150 m²"
"1738145044-17","https://www.expat-dakar.com/appartements-a-louer?page=127","Corniche fan résidence
                                3 chambre3 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        13. janv., 19:56
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/corniche-fan-residence-5067902","Chambres
        
                            3
                    
            Mètres carrés
        
                            3 m²","3","","Fann
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c3ba614ff1ce33dffc48b04b7012193/-/horizon-files-prod/ed/picture/qvn027w/23fe3c35688726bf20488d24cb5da5ca3622fa71.jpg","3 m²"
"1738145046-18","https://www.expat-dakar.com/appartements-a-louer?page=127","Apparemment meublé aux Poin E
                                3 chambre300 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        dimanche, 13:34
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-meuble-aux-poin-e-5790233","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            300 m²","3","4","Point-e
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f3c64e96576b6f713a8bc3b402791de6/-/horizon-files-prod/ed/picture/qxj6mvgq/149183f6bc656192b307fa1384a36418fd83397d.jpg","300 m²"
"1738145048-19","https://www.expat-dakar.com/appartements-a-louer?page=127","Apartement corniche fan résidence
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        13. janv., 16:58
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apartement-corniche-fan-residence-6031271","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","3","Fann
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/27496b8c626611175c38f426497b6e39/-/horizon-files-prod/ed/picture/qngxqw7v/d0b54bbcafbd6d228c8b062a402c99cdc1407583.jpg","200 m²"
"1738145051-20","https://www.expat-dakar.com/appartements-a-louer?page=127","Appartement 3ch à louer au plateau
                                
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 11:11
                                    
                                            Vendeur vérifié
                                        
                    1 050 000 F Cfa
                        
                        705657870
                    
                        705657870","https://www.expat-dakar.com/annonce/appartement-3ch-a-louer-au-plateau-6010728","","","","Plateau
            
                Dakar","1 050 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba3b6181c0b7de61c64f0e8f451fafae/-/horizon-files-prod/ed/picture/qwe20j4d/56b5a3dc2b6103d1ba77be21dc4b20d53aa1886c.jpg",""
"1738145053-21","https://www.expat-dakar.com/appartements-a-louer?page=127","VIP
    
                                    Bel appartement F5 au Point E
                                4 chambre128 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        Hier, 17:13
                                    
                    700 000 F Cfa
                        
                        773810707
                    
                        777628888
                    
                        778419898","https://www.expat-dakar.com/annonce/bel-appartement-f5-au-point-e-6136935","Chambres
        
                            4
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            128 m²","4","4","Point-e
            
                Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/809c50788c25e516e6f152b4f1c74b53/-/horizon-files-prod/ed/picture/qgqww4kk/b46cc35a35cbff1129c5ae9888c7beb65f670f7a.jpg","128 m²"
"1738145058-22","https://www.expat-dakar.com/appartements-a-louer?page=126","Magnifiques appartements sur la corniche vue mer
                                5 chambre378 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        17. nov. '24, 23:06
                                    
                    3 500 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/magnifiques-appartements-sur-la-corniche-vue-mer-6027136","Chambres
        
                            5
                    
            Mètres carrés
        
                            378 m²","5","","Mamelles
            
                Dakar","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/075eb0d143fde86358d636d0b36a00e1/-/horizon-files-prod/ed/picture/qkrgzmzz/d23838cb3545fc16947551bb19963f00a22337c9.jpg","378 m²"
"1738145060-23","https://www.expat-dakar.com/appartements-a-louer?page=126","Appartement à louer à Mermoz
                                1 chambre100 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        1. déc. '24, 11:41
                                    
                    900 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-a-mermoz-6069269","Chambres
        
                            1
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            100 m²","1","2","Almadies
            
                Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f5fe00b1c429f973056a085a038fee9/-/horizon-files-prod/ed/picture/q0gwemje/59ba902ec9be51fa471b899da2e54e25b3ac266d.jpg","100 m²"
"1738145064-24","https://www.expat-dakar.com/appartements-a-louer?page=126","Penthous à louer aux Poin e
                                4 chambre280 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        3. janv., 12:07
                                    
                    3 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/penthous-a-louer-aux-poin-e-6076448","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            280 m²","4","5","Point-e
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/30e5ddfccfa743001436e77f8308ff8a/-/horizon-files-prod/ed/picture/q9m9pxxj/8d484eab5b5f4f8c878728ae4980d7fbf17fdfe7.jpg","280 m²"
"1738145067-25","https://www.expat-dakar.com/appartements-a-louer?page=126","Superbe F4 au Point E
                                3 chambre180 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        2. déc. '24, 06:52
                                    
                    1 200 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/superbe-f4-au-point-e-5969538","Chambres
        
                            3
                    
            Mètres carrés
        
                            180 m²","3","","Point-e
            
                Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf69f3fbc0ca477c582c6e93c6769d28/-/horizon-files-prod/ed/picture/qpd6254r/9fa3e83bc4b96a5488a3b1550265a80f1e363a7c.jpg","180 m²"
"1738145069-26","https://www.expat-dakar.com/appartements-a-louer?page=126","Recherche d'appartement à louer
                                2 chambre100 m²
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        10. nov. '24, 22:44
                                    
                    500 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/recherche-dappartement-a-louer-6087452","Chambres
        
                            2
                    
            Mètres carrés
        
                            100 m²","2","","Sicap Liberté
            
                Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/320b6ceee13276e1eadfda174f46523f/-/horizon-files-prod/ed/picture/q8v5q899/19a355161ec9975ad0d2c8fafa2814a9c4b80a3d.jpg","100 m²"
"1738145071-27","https://www.expat-dakar.com/appartements-a-louer?page=126","Appartement à louer à baobab
                                2 chambre100 m²
                                                                                    Sicap baobab,
                                                                                Dakar
                                    
                                        3. déc. '24, 21:24
                                    
                    250 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/appartement-a-louer-a-baobab-5755694","Chambres
        
                            2
                    
            Mètres carrés
        
                            100 m²","2","","Sicap baobab
            
                Dakar","250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/609037b7e32b3cdb65713a6434de01e2/-/horizon-files-prod/ed/picture/qwez58dj/1c99ab0fda1ce4a0a05d57db0ce084194cbcf8cf.jpg","100 m²"
"1738145074-28","https://www.expat-dakar.com/appartements-a-louer?page=126","Appartement à louer sur la corniche fan hock
                                3 chambre200 m²
                                                                                    Fann Hock,
                                                                                Dakar
                                    
                                        jeudi, 01:07
                                    
                    1 600 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-sur-la-corniche-fan-hock-6091157","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","Fann Hock
            
                Dakar","1 600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fbeb3a33509fe919ddf379b3971227f0/-/horizon-files-prod/ed/picture/qgqw5q5e/036dd94e728a121bb9c86763ad3763e9cda5c4d0.jpg","200 m²"
"1738145076-29","https://www.expat-dakar.com/appartements-a-louer?page=126","Joli appartement à louer à Ngor Virage
                                3 chambre
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        4. déc. '24, 10:52
                                    
                    1 800 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/joli-appartement-a-louer-a-ngor-virage-6095794","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","Ngor
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d6ccec2bc316cb275f345a099e2dd8d/-/horizon-files-prod/ed/picture/qwepmj95/ae6d7faaa84a6cf78dc7496bcca3a126d56472dc.jpg",""
"1738145079-30","https://www.expat-dakar.com/appartements-a-louer?page=126","Appartements vides et meublés à louer à Sacré Cœur
                                3 chambre
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        lundi, 10:31
                                    
                    1 200 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/appartements-vides-et-meubles-a-louer-a-sacre-coeur-6097115","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","Sacré-cœur
            
                Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2630668d64036a2d11e2e5cc953cb821/-/horizon-files-prod/ed/picture/qj4qmd5d/afde293768d607001536997c0be3200fe7759467.jpg",""
"1738145081-31","https://www.expat-dakar.com/appartements-a-louer?page=126","Appartements à louer à Mermoz
                                3 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        7. nov. '24, 12:17
                                    
                    2 500 000 F Cfa
                        
                        765694080","https://www.expat-dakar.com/annonce/appartements-a-louer-a-mermoz-6021156","Chambres
        
                            3","3","","Mermoz
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e3f7a9454a3d1450eaa20e64a1d56610/-/horizon-files-prod/ed/picture/qm5p7djz/cf3e627ccd32a3547c212c5fcb09dceae8b96d98.jpg",""
"1738145086-32","https://www.expat-dakar.com/appartements-a-louer?page=125","Appartement à Ouakam en face mosquée divinité
                                3 chambre
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        7. nov. '24, 12:16
                                    
                    2 500 000 F Cfa
                        
                        765694080","https://www.expat-dakar.com/annonce/appartement-a-ouakam-en-face-mosquee-divinite-6021173","Chambres
        
                            3","3","","Ouakam
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/15b47c3e2eaaa380d8357ac777631f45/-/horizon-files-prod/ed/picture/qq47ng6n/c6b140be8104bc19fc660e3806db898e371eec9b.jpg",""
"1738145089-33","https://www.expat-dakar.com/appartements-a-louer?page=125","Appartenant neuf à louer à onomo
                                3 chambre200 m²
                                                                                    Cité biagui,
                                                                                Dakar
                                    
                                        dimanche, 23:04
                                    
                    1 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartenant-neuf-a-louer-a-onomo-6104401","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","Cité biagui
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce7dc72f3534a9c63f1161048c7a32e6/-/horizon-files-prod/ed/picture/q78w8p0z/b0b1e0064e90fe5f7991f32631b51e3ae8296097.jpg","200 m²"
"1738145091-34","https://www.expat-dakar.com/appartements-a-louer?page=125","Appartement à louer aux plateau vue sur mer
                                3 chambre250 m²
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        13. janv., 16:53
                                    
                    2 100 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-plateau-vue-sur-mer-6104942","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            250 m²","3","3","Plateau
            
                Dakar","2 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c677e355b7511da0b66f3e89ffe9ec5/-/horizon-files-prod/ed/picture/qenvnp7x/aca85a460a6b485fffc06262f05fdbbf6a9b723b.jpg","250 m²"
"1738145094-35","https://www.expat-dakar.com/appartements-a-louer?page=125","Appartement à louer aux Almadie route méridienne
                                3 chambre250 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        lundi, 23:01
                                    
                    2 300 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadie-route-meridienne-6106154","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            250 m²","3","4","Almadies
            
                Dakar","2 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bda0d1dea1f7b9e84c3513a3ccc51689/-/horizon-files-prod/ed/picture/qrz8z525/ae729373d252dcd657a685a33ec8f58eaad622bf.jpg","250 m²"
"1738145096-36","https://www.expat-dakar.com/appartements-a-louer?page=125","Appartement à louer corniche fan résidence
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        31. déc. '24, 12:53
                                    
                    2 600 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-corniche-fan-residence-6071037","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            200 m²","3","5","Fann
            
                Dakar","2 600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/84ad3d69e6db10d5b1d9c98959d39f65/-/horizon-files-prod/ed/picture/qj4rnr26/ee4acc33cb404b29e66f787c0f7465102d02bc69.jpg","200 m²"
"1738145099-37","https://www.expat-dakar.com/appartements-a-louer?page=125","Penthouse à louer Almadies route de méridienne
                                4 chambre500 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        13. janv., 16:51
                                    
                    3 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/penthouse-a-louer-almadies-route-de-meridienne-6106771","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            500 m²","4","5","Almadies
            
                Dakar","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf3acb58228ee9ae315c6165b380568d/-/horizon-files-prod/ed/picture/qngpgz7z/ccf307bb65c1d7b0826052618be20f82634c683e.jpg","500 m²"
"1738145101-38","https://www.expat-dakar.com/appartements-a-louer?page=125","Apparemment à vendre à ouakam cité africa
                                3 chambre200 m²
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        8. déc. '24, 16:40
                                    
                    280 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-a-vendre-a-ouakam-cite-africa-6110475","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","Ouakam
            
                Dakar","280 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9767614308240a56ce5c5f227d0d229e/-/horizon-files-prod/ed/picture/q44n4kxz/fd68f5723868306105cb64e950a8e3600cd079b2.jpg","200 m²"
"1738145104-39","https://www.expat-dakar.com/appartements-a-louer?page=125","Appartement vue mer F4 à louer virage
                                3 chambre150 m²
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        1. déc. '24, 22:20
                                    
                    1 500 000 F Cfa
                        
                        775597743","https://www.expat-dakar.com/annonce/appartement-vue-mer-f4-a-louer-virage-3264570","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            150 m²","3","4","Yoff
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/407879c181e67adfc06960108ea0d425/-/horizon-files-prod/ed/picture/q92p646/223c509db324371a7cf69e648686ef1276a94da8.jpg","150 m²"
